    Lp	    Lc	 Width	  Wall	File 
 1.130	 1.640	26.024	 0.000	                        
 0.530	 0.600	25.522	 0.000	                        
 1.200	 2.470	25.368	 0.000	                        
 0.400	 0.570	 9.703	 0.000	                        
 2.420	 2.910	23.367	 0.000	                        
 0.400	 0.430	16.543	 3.850	                        
 0.840	 0.920	28.173	 0.000	                        
 1.950	 2.560	40.240	20.020	                        
 1.630	 1.650	30.026	10.780	                        
 1.670	 1.870	30.009	 0.000	                        
 0.660	 0.890	32.903	 0.000	                        
 0.320	 0.420	13.012	 3.850	                        
 0.530	 0.830	16.769	 0.000	                        
 1.980	 2.070	22.945	 0.000	                        
 0.320	 0.360	48.486	10.780	                        
 1.510	 1.650	17.833	 0.000	                        
 0.860	 0.900	15.519	 5.390	                        
 2.560	 2.820	25.188	 0.000	                        
 1.190	 1.230	42.497	16.170	                        
 1.240	 1.300	21.041	 0.000	                        
 0.060	 0.060	 0.000	 0.000	                        
 0.180	 0.180	 0.000	 0.000	                        
 1.280	 1.350	13.883	 6.930	                        
 1.240	 1.490	24.554	 0.000	                        
 0.450	 0.900	22.585	 0.000	                        
 0.440	 0.490	23.123	11.550	                        
 0.970	 1.610	37.495	 0.000	                        
 0.680	 1.400	33.030	 0.000	                        
 1.820	 1.910	39.441	 0.000	                        
 0.780	 0.820	27.430	 0.000	                        
 0.140	 0.140	 0.000	 0.000	                        
 1.260	 1.390	23.327	 0.000	                        
 2.750	 3.090	46.792	 7.700	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.170	 0.170	 0.000	 0.000	                        
 0.150	 0.150	 0.000	 0.000	                        
 0.110	 0.110	 0.000	 0.000	                        
 1.610	 2.080	26.594	 0.000	                        
 2.920	 3.150	22.896	 0.000	                        
 3.580	 3.760	44.072	 0.000	                        
 0.480	 0.510	16.149	 3.850	                        
 0.440	 0.450	11.782	 3.080	                        
 1.120	 1.180	25.654	10.010	                        
 0.100	 0.110	 0.000	 0.000	                        
 0.800	 0.870	21.099	 0.000	                        
 1.320	 1.380	42.949	 7.700	                        
 0.180	 0.180	 0.000	 0.000	                        
 3.980	 4.210	18.565	 0.000	                        
 0.700	 0.750	21.671	10.010	                        
 3.390	 3.500	38.076	16.940	                        
 0.080	 0.080	 0.000	 0.000	                        
 0.320	 0.320	25.616	 0.000	                        
 1.060	 1.200	19.998	 6.160	                        
 0.210	 0.240	 0.000	 0.000	                        
 0.210	 0.280	 0.000	 0.000	                        
 0.790	 1.190	26.165	 0.000	                        
 0.590	 0.630	53.109	 8.470	                        
 0.630	 0.720	22.628	 0.000	                        
 2.170	 3.380	28.199	10.010	                        
 1.820	 1.970	38.719	 0.000	                        
 0.990	 2.060	31.009	 0.000	                        
 2.270	 2.370	11.438	 1.540	                        
 0.250	 0.250	30.444	 3.850	                        
 1.100	 1.200	20.806	 0.000	                        
 3.390	 3.590	34.627	16.170	                        
 0.280	 0.300	19.346	 4.620	                        
 0.910	 0.990	31.092	13.090	                        
 2.450	 2.650	20.920	10.010	                        
 0.920	 1.760	37.391	 0.000	                        
 0.080	 0.080	 0.000	 0.000	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.710	 0.950	33.608	 0.000	                        
 0.050	 0.050	 0.000	 0.000	                        
 0.320	 0.470	13.339	 0.000	                        
 2.510	 2.680	19.083	 8.470	                        
 0.770	 0.920	19.132	 9.240	                        
 0.720	 0.840	22.037	 0.000	                        
 1.320	 2.240	24.162	 9.240	                        
 3.130	 3.310	43.094	20.790	                        
 2.470	 2.630	26.201	 6.160	                        
 2.340	 3.380	20.690	 0.000	                        
 0.460	 0.630	24.786	 0.000	                        
 1.260	 1.300	35.270	 0.000	                        
 0.300	 0.310	10.007	 4.620	                        
 1.090	 1.190	19.240	 0.000	                        
 0.050	 0.050	 0.000	 0.000	                        
 0.710	 1.360	23.085	 0.000	                        
 1.650	 2.670	17.336	 8.470	                        
 0.210	 0.210	14.372	 6.930	                        
 0.110	 0.110	 0.000	 0.000	                        
 1.430	 1.490	33.000	 0.000	                        
 0.440	 0.460	16.931	 6.930	                        
 1.930	 2.120	13.955	 0.000	                        
 1.500	 1.580	39.072	10.010	                        
 0.160	 0.160	 0.000	 0.000	                        
 0.840	 0.940	34.967	 0.000	                        
 0.140	 0.150	 0.000	 0.000	                        
 1.020	 1.270	26.828	 0.000	                        
 0.720	 0.840	18.198	 0.000	                        
 0.380	 0.400	25.471	 7.700	                        
 1.490	 2.440	29.578	 0.000	                        
 1.250	 2.500	29.853	 0.000	                        
 0.990	 2.010	27.813	12.320	                        
 0.180	 0.180	 0.000	 0.000	                        
 0.160	 0.170	 0.000	 0.000	                        
 3.430	 3.740	37.373	 0.000	                        
 1.450	 1.620	27.233	 0.000	                        
 1.030	 1.180	27.757	11.550	                        
 0.250	 0.520	23.696	 6.160	                        
 0.070	 0.070	 0.000	 0.000	                        
 0.190	 0.190	 0.000	 0.000	                        
 2.540	 2.710	20.679	 0.000	                        
 1.310	 2.030	32.307	 0.000	                        
 0.510	 0.560	27.986	12.320	                        
 1.020	 1.140	18.675	 9.240	                        
 2.160	 2.420	46.167	 0.000	                        
 0.710	 0.800	42.892	 0.000	                        
 2.480	 2.650	43.080	 7.700	                        
 2.120	 3.020	36.462	 0.000	                        
 2.100	 3.450	15.823	 0.000	                        
 0.130	 0.130	 0.000	 0.000	                        
 2.620	 2.790	16.248	 7.700	                        
 0.190	 0.210	19.775	 0.000	                        
 1.930	 2.400	24.906	 0.000	                        
 0.170	 0.170	 0.000	 0.000	                        
 0.210	 0.220	12.711	 6.160	                        
 0.090	 0.090	 0.000	 0.000	                        
 2.200	 2.340	 0.000	 0.000	                        
 0.760	 0.980	20.365	 0.000	                        
 0.540	 0.590	22.130	 0.000	                        
 0.110	 0.120	 0.000	 0.000	                        
 0.110	 0.130	 0.000	 0.000	                        
 0.180	 0.180	 0.000	 0.000	                        
 1.970	 2.710	29.425	 9.240	                        
 0.270	 0.270	39.047	13.860	                        
 0.050	 0.050	 0.000	 0.000	                        
 2.290	 2.550	 6.971	 1.540	                        
 0.230	 0.250	16.860	 6.930	                        
 0.140	 0.140	 0.000	 0.000	                        
 0.130	 0.140	 0.000	 0.000	                        
 0.080	 0.080	 0.000	 0.000	                        
 1.040	 1.170	24.951	 8.470	                        
 0.750	 0.790	21.244	 0.000	                        
 1.930	 2.000	21.332	 0.000	                        
 0.700	 1.160	21.897	 0.000	                        
 0.700	 0.770	41.965	 3.850	                        
 2.530	 2.980	21.002	 0.000	                        
 3.960	 4.370	20.918	 0.000	                        
 1.600	 1.650	30.165	13.860	                        
 3.270	 3.710	46.919	14.630	                        
 2.270	 2.390	 6.160	 1.540	                        
 0.550	 1.190	20.014	 0.000	                        
 0.690	 1.410	22.525	 0.000	                        
 0.170	 0.180	 0.000	 0.000	                        
 1.800	 3.020	18.585	 0.000	                        
 0.270	 0.290	10.516	 4.620	                        
 0.190	 0.210	16.195	 0.000	                        
 0.110	 0.110	 0.000	 0.000	                        
 0.610	 0.630	40.030	 0.000	                        
 0.770	 0.860	24.990	 0.000	                        
 0.260	 0.320	13.729	 0.000	                        
 0.420	 0.440	21.720	 0.000	                        
 0.120	 0.120	 0.000	 0.000	                        
 0.440	 0.540	23.229	11.550	                        
 2.410	 2.740	21.238	10.010	                        
 0.350	 0.650	29.173	 0.000	                        
 0.620	 1.080	20.355	 0.000	                        
 1.030	 1.080	22.303	 0.000	                        
 0.980	 1.100	27.155	10.010	                        
 0.980	 1.080	21.454	 0.000	                        
 1.880	 2.000	25.027	 0.000	                        
 1.420	 2.300	29.842	 0.000	                        
 0.810	 0.900	20.799	 0.000	                        
 0.850	 0.870	44.442	 0.000	                        
 1.150	 1.690	32.686	 0.000	                        
 0.260	 0.270	14.413	 1.540	                        
 0.130	 0.130	 0.000	 0.000	                        
 1.410	 2.370	27.535	 0.000	                        
 3.520	 3.750	26.967	 0.000	                        
 0.440	 0.480	22.922	10.010	                        
 0.940	 1.000	38.143	14.630	                        
 0.040	 0.050	 0.000	 0.000	                        
 0.980	 1.050	36.988	 0.000	                        
 0.110	 0.120	 0.000	 0.000	                        
 0.600	 0.850	30.193	 0.000	                        
 0.160	 0.170	 0.000	 0.000	                        
 0.930	 1.780	21.418	 0.000	                        
 0.260	 0.310	19.165	 5.390	                        
 0.620	 0.710	20.455	 0.000	                        
 0.250	 0.280	20.749	 0.000	                        
 0.710	 1.350	23.434	 0.000	                        
 0.030	 0.030	 0.000	 0.000	                        
 2.280	 2.770	10.289	 3.080	                        
 1.720	 2.840	20.698	 0.000	                        
 0.470	 0.700	34.704	 0.000	                        
 0.190	 0.220	12.268	 5.390	                        
 0.060	 0.060	 0.000	 0.000	                        
 0.270	 0.290	 8.687	 0.000	                        
 2.100	 2.290	22.227	 0.000	                        
 0.570	 0.630	12.517	 6.160	                        
 0.120	 0.120	 0.000	 0.000	                        
 1.960	 2.140	28.498	 0.000	                        
 1.580	 2.200	19.479	 0.000	                        
 1.570	 2.390	43.375	 0.000	                        
 1.650	 3.050	37.354	 0.000	                        
 1.580	 1.730	22.526	 0.000	                        
 0.600	 0.670	31.830	 7.700	                        
 1.940	 2.840	33.757	 0.000	                        
 0.630	 0.680	15.437	 7.700	                        
 0.130	 0.170	 0.000	 0.000	                        
 0.470	 0.510	22.011	10.780	                        
 0.540	 1.030	40.592	19.250	                        
 3.160	 3.410	21.232	 0.000	                        
 0.940	 2.140	69.020	 0.000	                        
 1.290	 1.420	30.494	 0.000	                        
 2.360	 2.420	24.761	11.550	                        
 0.390	 0.420	13.199	 6.160	                        
 1.190	 1.320	27.104	 0.000	                        
 1.210	 1.280	28.770	 0.000	                        
 0.140	 0.150	 0.000	 0.000	                        
 0.750	 0.890	43.351	 0.000	                        
 0.970	 1.050	16.506	 0.000	                        
 0.730	 0.780	37.913	 5.390	                        
 0.600	 1.100	30.936	 0.000	                        
 0.500	 0.840	34.524	 0.000	                        
 2.190	 3.030	34.027	 0.000	                        
 0.380	 0.420	17.558	 5.390	                        
 0.240	 0.280	12.049	 5.390	                        
 0.110	 0.110	 0.000	 0.000	                        
 1.700	 2.340	28.979	13.860	                        
 1.930	 2.050	21.310	 0.000	                        
 1.800	 2.040	24.032	 0.000	                        
 0.130	 0.160	 0.000	 0.000	                        
 3.220	 3.370	29.084	 0.000	                        
 1.110	 1.440	24.554	 0.000	                        
 1.630	 2.030	35.143	 0.000	                        
 1.040	 1.190	22.533	 0.000	                        
 0.790	 1.520	29.492	 0.000	                        
 2.540	 2.800	30.868	 0.000	                        
 0.690	 0.740	30.160	 0.000	                        
 1.620	 1.750	27.861	 0.000	                        
 2.170	 2.340	34.901	13.090	                        
 0.440	 0.550	14.937	 0.000	                        
 0.840	 0.890	22.486	 0.000	                        
 2.440	 2.790	12.334	 3.850	                        
 1.730	 2.620	21.446	 0.000	                        
 0.090	 0.100	 0.000	 0.000	                        
 0.890	 1.400	27.806	 0.000	                        
 1.610	 1.750	36.834	 0.000	                        
 2.370	 2.970	42.165	 8.470	                        
 0.310	 0.340	59.288	10.780	                        
 0.320	 0.650	14.145	 0.000	                        
 0.860	 1.340	28.671	 0.000	                        
 1.990	 2.070	33.889	13.090	                        
 0.780	 0.840	42.226	13.860	                        
 0.070	 0.070	 0.000	 0.000	                        
 1.060	 1.880	28.933	 0.000	                        
 1.340	 2.090	37.315	18.480	                        
 1.530	 1.930	29.920	14.630	                        
 1.490	 1.610	26.108	 0.000	                        
 0.680	 0.750	25.288	11.550	                        
 2.590	 2.750	21.120	 0.000	                        
 0.540	 1.250	27.549	 0.000	                        
 2.690	 2.810	44.996	12.320	                        
 1.590	 2.690	43.116	19.250	                        
 1.630	 1.850	25.088	 0.000	                        
 0.730	 1.000	27.186	 0.000	                        
 2.600	 3.160	24.432	 9.240	                        
 0.530	 0.640	43.433	19.250	                        
 0.490	 0.660	16.031	 0.000	                        
 0.430	 0.490	20.296	 6.930	                        
 0.780	 0.810	15.968	 7.700	                        
 0.220	 0.230	21.255	 0.000	                        
 0.530	 0.570	18.784	 9.240	                        
 0.470	 0.490	17.935	 5.390	                        
 1.620	 1.870	17.794	 8.470	                        
 0.570	 1.430	48.160	 0.000	                        
 0.620	 0.670	16.537	 0.000	                        
 0.980	 1.080	22.528	 9.240	                        
 0.100	 0.120	 0.000	 0.000	                        
 0.160	 0.190	 0.000	 0.000	                        
 0.180	 0.190	 0.000	 0.000	                        
 0.640	 0.970	32.806	10.010	                        
 1.900	 2.030	40.969	19.250	                        
 0.140	 0.150	 0.000	 0.000	                        
 2.640	 2.740	15.754	 7.700	                        
 0.150	 0.150	 0.000	 0.000	                        
 0.100	 0.110	 0.000	 0.000	                        
 1.470	 1.580	31.584	 0.000	                        
 3.140	 3.390	27.586	 0.000	                        
 0.050	 0.050	 0.000	 0.000	                        
 1.610	 3.070	35.031	 0.000	                        
 1.870	 1.940	41.943	20.020	                        
 2.350	 3.180	 9.208	 3.080	                        
 0.730	 1.470	22.517	 0.000	                        
 0.650	 0.970	21.438	 0.000	                        
 2.120	 2.350	18.152	 0.000	                        
 0.540	 0.680	21.571	 4.620	                        
 0.060	 0.060	 0.000	 0.000	                        
 2.130	 2.200	31.962	12.320	                        
 1.540	 1.730	27.986	 0.000	                        
 1.960	 3.800	27.536	 0.000	                        
 0.370	 0.450	16.592	 6.160	                        
 0.460	 0.490	12.503	 5.390	                        
 0.360	 0.390	16.288	 0.000	                        
 2.010	 2.140	40.238	20.020	                        
 1.760	 2.620	31.879	 0.000	                        
 1.790	 2.560	31.748	 0.000	                        
 1.300	 1.370	28.195	10.010	                        
 0.120	 0.120	 0.000	 0.000	                        
 2.850	 3.190	22.306	 0.000	                        
 0.760	 1.320	24.392	 0.000	                        
 0.240	 0.270	11.248	 2.310	                        
 0.170	 0.230	17.042	 1.540	                        
 0.150	 0.150	 0.000	 0.000	                        
 1.780	 1.900	37.213	14.630	                        
 2.240	 2.380	35.160	 0.000	                        
 0.810	 1.440	22.560	 0.000	                        
 0.720	 0.990	13.597	 0.000	                        
 0.980	 1.090	37.048	 5.390	                        
 0.580	 0.610	27.636	 8.470	                        
 0.430	 0.430	32.624	16.170	                        
 0.330	 0.370	53.256	 0.000	                        
 1.570	 1.690	24.458	 0.000	                        
 1.250	 1.360	16.381	 0.000	                        
 0.080	 0.080	 0.000	 0.000	                        
 0.570	 0.610	82.874	37.730	                        
 3.040	 3.240	34.510	13.090	                        
 0.760	 0.790	34.232	 5.390	                        
 1.220	 2.210	31.084	 0.000	                        
 1.040	 1.160	28.413	13.090	                        
 1.500	 1.610	30.654	 0.000	                        
 1.510	 2.720	27.849	 0.000	                        
 1.470	 1.650	37.432	18.480	                        
 1.610	 2.460	48.213	15.400	                        
 1.110	 1.760	36.450	11.550	                        
 2.670	 2.850	15.900	 7.700	                        
 1.750	 1.980	24.735	12.320	                        
 0.320	 0.320	 0.000	 0.000	                        
 0.970	 1.130	39.954	15.400	                        
 0.070	 0.070	 0.000	 0.000	                        
 0.560	 0.990	28.327	 0.000	                        
 1.310	 1.980	45.793	 0.000	                        
 0.730	 0.770	29.841	13.090	                        
 1.910	 1.980	32.144	 0.000	                        
 0.480	 0.540	28.212	 0.000	                        
 0.580	 0.590	27.823	13.860	                        
 1.500	 1.600	44.325	12.320	                        
 0.480	 1.300	37.241	 0.000	                        
 0.070	 0.070	 0.000	 0.000	                        
 1.260	 2.730	26.376	 0.000	                        
 0.150	 0.160	 0.000	 0.000	                        
 2.630	 2.810	14.444	 6.930	                        
 1.590	 2.320	30.080	 3.080	                        
 0.120	 0.130	 0.000	 0.000	                        
 3.210	 3.390	24.762	12.320	                        
 0.900	 0.970	20.122	10.010	                        
 0.420	 0.520	14.972	 5.390	                        
 0.660	 0.840	28.215	10.010	                        
 0.240	 0.240	35.728	16.940	                        
 2.610	 2.810	27.488	 0.000	                        
 2.540	 2.730	23.601	 0.000	                        
 1.340	 2.350	20.933	 0.000	                        
 2.330	 2.480	23.766	 0.000	                        
 1.400	 2.650	37.051	 0.000	                        
 2.050	 2.160	30.891	 0.000	                        
